1 1 0  -1.69406589451E-021  8.47032947254E-022  0.00000000000E+000  2.99228258392E+002
1 1 1   3.38813178902E-021  8.47032947254E-022  3.30000000000E-005  2.99228258674E+002
1 1 2   1.69406589451E-021 -2.11758236814E-021  6.60000000000E-005  2.99228294941E+002
1 1 3   5.92923063078E-021 -4.23516473627E-021  9.90000000000E-005  2.99228369919E+002
1 1 4   1.69406589451E-021 -4.23516473627E-022  1.32000000000E-004  2.99228449419E+002
1 1 5   1.69406589451E-021  0.00000000000E+000  1.65000000000E-004  2.99228538376E+002
1 1 6  -1.69406589451E-021  1.69406589451E-021  1.98000000000E-004  2.99228639037E+002
1 1 7  -6.35274710441E-022 -5.50571415715E-021  2.31000000000E-004  2.99228746119E+002
1 1 8   1.27054942088E-021  1.90582413132E-021  2.64000000000E-004  2.99229046750E+002
1 1 9   3.22931311141E-021  3.62635980543E-021  2.97000000000E-004  2.99229238201E+002
1 1 10   0.00000000000E+000  0.00000000000E+000  3.30000000000E-004  2.99221848656E+002
1 1 11   3.38813178902E-021 -1.69406589451E-021  3.63000000000E-004  2.98543057064E+002
1 1 12   5.08219768353E-021  8.04681299892E-021  3.96000000000E-004  2.98190757882E+002
1 1 13   3.81164826264E-021  0.00000000000E+000  4.29000000000E-004  2.98185663337E+002
1 1 14   8.47032947254E-022 -6.77626357803E-021  4.62000000000E-004  2.98180569149E+002
1 1 15   8.47032947254E-022 -1.69406589451E-021  4.95000000000E-004  2.98175474570E+002
1 1 16   3.38813178902E-021 -3.38813178902E-021  5.28000000000E-004  2.98170379807E+002
1 1 17   0.00000000000E+000  0.00000000000E+000  5.61000000000E-004  2.98165284886E+002
1 1 18   4.26163451587E-021 -8.68208770936E-021  5.94000000000E-004  2.98160189959E+002
1 1 19  -8.47032947254E-022 -1.69406589451E-021  6.27000000000E-004  2.98155094983E+002
1 1 20   3.38813178902E-021 -1.69406589451E-021  6.60000000000E-004  2.98150000000E+002
